timeTick, n_in0, n_in1, n_in2, n_in3, n_in4, n_in5, n_in6, n_in7, n_in8, n_in9, n_in10, n_in11, n_in12, n_out0, n_out1, n_out2, n_out3, otX0, otY0, otZ0, otRoll0, otPitch0, otYaw0
53775, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.11163678020238876, 0.10036339610815048, 0.03347218409180641, -0.222396713683752, -0.9914202410145379, 0.7132619140864311
53785, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.11163599044084549, 0.10035914182662964, 0.03347679600119591, -0.3047696233079073, -1.0035517980068391, 0.705077994080283
53795, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.11164544522762299, 0.10035485774278641, 0.03347330540418625, -0.2754114256229419, -0.9739158208204515, 0.7069871278725867
53805, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0.111554816365242, 0.1003279909491539, 0.033545296639204025, -0.3102201407199802, -0.7808962809324385, 0.6115854526964493
53815, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11164040118455887, 0.10036267340183258, 0.03345855325460434, -0.29898583542400303, -0.9137794727873256, 0.7215088103271853
53825, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11163324117660522, 0.10036070644855499, 0.03344467654824257, -0.27946499971398603, -0.9818619918189881, 0.7059858051492763
53835, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11162953823804855, 0.10035926103591919, 0.03345984220504761, -0.26864812125172016, -0.9846233186958955, 0.7090282359009396
53845, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11156414449214935, 0.10030920803546906, 0.03352741524577141, -0.3350663136588824, -0.8187563185152271, 0.614857136679725
53855, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1116390973329544, 0.10037138313055038, 0.03343243896961212, -0.2742771723535377, -0.9818756577653573, 0.695290635929835
53865, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11164408177137375, 0.10036202520132065, 0.03346177935600281, -0.26542858490120036, -0.9761690618020964, 0.7006264439492604
53875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11162558197975159, 0.10035963356494904, 0.033442623913288116, -0.32452189452270735, -0.9926389102895712, 0.7088947398591179
53885, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11163540184497833, 0.10035178065299988, 0.03343765437602997, -0.2623439227450811, -0.932088021490415, 0.7148024999287708
53895, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11152738332748413, 0.10030923038721085, 0.03358491137623787, -0.3338136861560042, -0.7557026222633851, 0.6162983331751681
53905, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11164196580648422, 0.10034825652837753, 0.033463869243860245, -0.2709137343725007, -0.9813397099884753, 0.6929829883231536
53915, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11153938621282578, 0.10025326162576675, 0.03359052166342735, -0.39508450448632576, -0.8441410663994589, 0.6045526712953501
53925, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11157102882862091, 0.10029926896095276, 0.0335557721555233, -0.3642797525393516, -0.8227545585854728, 0.6062844200021084
53935, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11162713170051575, 0.10035903751850128, 0.0334666445851326, -0.24478518995784396, -0.9666410921742568, 0.7154379963844083
53945, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11164109408855438, 0.10036196559667587, 0.033459633588790894, -0.29708806969707285, -0.9708694140429657, 0.7094058562773157
53955, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11163802444934845, 0.10036066919565201, 0.033457908779382706, -0.2867778149063048, -0.9669821318396146, 0.7049779053345724
53965, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11162728071212769, 0.10036381334066391, 0.03344671055674553, -0.2968113559498046, -0.9906487301893776, 0.7127562719506472
53975, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1115279346704483, 0.1001775711774826, 0.03344075009226799, -0.22952981371500372, -0.9263375036403261, 0.5027117103205402
53985, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11162631213665009, 0.10035156458616257, 0.033467166125774384, -0.28616555271853317, -0.9750280258507473, 0.7019397019638669
53995, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11164448410272598, 0.10034631937742233, 0.03347405418753624, -0.28789732622768516, -0.9612707215109992, 0.700127281621796
54005, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1116194799542427, 0.10037187486886978, 0.033463627099990845, -0.2521744579960756, -0.9318793620492727, 0.7111819840202824
54015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11165111511945724, 0.10035772621631622, 0.0333884060382843, -0.3100418200554683, -1.0141007374334379, 0.7069062091698547
54025, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11156228929758072, 0.10029149055480957, 0.03351762145757675, -0.355767069155922, -0.8219113345457743, 0.6044296616769687
54035, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11161842197179794, 0.10036594420671463, 0.03346994146704674, -0.2633365833114119, -0.9638673265270938, 0.7113369921522824
54045, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11162764579057693, 0.10036645084619522, 0.03347618132829666, -0.2533297813899967, -0.9665983409875878, 0.7189014785408016
54055, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11161037534475327, 0.10036168247461319, 0.033448703587055206, -0.26435386078560724, -1.0017880509166162, 0.7036429126869286
54065, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11157258599996567, 0.10028330981731415, 0.033503156155347824, -0.39502929430988676, -0.8035337020881173, 0.5995302990367329
